doc_id,manifest_title,raw_filename,detected_canonical_title,chunk_count,chunk_title_match,heading_path_root_match,sqlite_title_match,raw_identity_status,integrity_flag,audit_notes
doc001,中华人民共和国食品安全法,中华人民共和国食品安全法.txt,中华人民共和国食品安全法,161,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc002,中华人民共和国药品管理法,中华人民共和国药品管理法.txt,中华人民共和国药品管理法,162,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc003,中华人民共和国疫苗管理法,中华人民共和国疫苗管理法.txt,中华人民共和国疫苗管理法,113,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc004,中华人民共和国职业病防治法,中华人民共和国职业病防治法.txt,中华人民共和国职业病防治法,96,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc005,中华人民共和国传染病防治法,中华人民共和国传染病防治法.txt,中华人民共和国传染病防治法,90,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc006,麻醉药品和精神药品管理条例,麻醉药品和精神药品管理条例.txt,麻醉药品和精神药品管理条例,99,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc007,中华人民共和国基本医疗卫生与健康促进法,中华人民共和国基本医疗卫生与健康促进法.txt,中华人民共和国基本医疗卫生与健康促进法,113,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc008,病原微生物实验室生物安全管理条例,病原微生物实验室生物安全管理条例.txt,病原微生物实验室生物安全管理条例,80,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc009,中华人民共和国生物安全法,中华人民共和国生物安全法.txt,中华人民共和国生物安全法,98,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc010,医疗机构管理条例实施细则,医疗机构管理条例实施细则.txt,医疗机构管理条例实施细则,100,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc011,放射性同位素与射线装置安全和防护条例,放射性同位素与射线装置安全和防护条例.txt,放射性同位素与射线装置安全和防护条例,77,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc012,中华人民共和国精神卫生法,中华人民共和国精神卫生法.txt,中华人民共和国精神卫生法,93,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc013,中华人民共和国食品安全法实施条例,中华人民共和国食品安全法实施条例.txt,中华人民共和国食品安全法实施条例,97,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc014,中华人民共和国医师法,中华人民共和国医师法.txt,中华人民共和国医师法,82,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc015,医疗事故处理条例,医疗事故处理条例.txt,医疗事故处理条例,71,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc016,艾滋病防治条例,艾滋病防治条例.txt,艾滋病防治条例,72,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc017,血吸虫病防治条例,血吸虫病防治条例.txt,血吸虫病防治条例,62,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc018,医疗纠纷预防和处理条例,医疗纠纷预防和处理条例.txt,医疗纠纷预防和处理条例,61,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc019,医疗废物管理条例,医疗废物管理条例.txt,医疗废物管理条例,65,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc020,中华人民共和国中医药法,中华人民共和国中医药法.txt,中华人民共和国中医药法,73,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc021,突发公共卫生事件应急条例,突发公共卫生事件应急条例.txt,突发公共卫生事件应急条例,61,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
doc022,计划生育技术服务管理条例,计划生育技术服务管理条例.txt,计划生育技术服务管理条例,53,True,True,True,VERIFIED_MATCH,PASS,"Manifest, SQLite, chunks, and raw document contents match"
